Company name,,
TD Power Systems Ltd,,2025000
Sula Vineyards Limited,,500000
Mahindra CIE Automotive Limited,,435000
IKIO LIGHTING LIMITED,,490021
Aavas Financiers Limited,,80000
MANGALORE REFINERY & PETROCHEMICALS LTD,,1500000
Graphite India Limited,,100000
Sun Pharmaceutical Industries Limited,,20000
Bharti Airtel Limited,,14000
